razon_social,propietario,nombre_planta,operador,direccion,localidad,departamento,provincia,geojson,geom
AMARILLA GAS S.A,30515637210,AMARILLA GAS CHIVILCOY,AMARILLA GAS S.A|,RUTA NACIONAL 5 N/KM 157,CHIVILCOY,CHIVILCOY,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-59.976726,-34.912725]}",0101000020E61000009293895B05FD4DC0ED9E3C2CD47441C0
AMARILLA GAS S.A,30515637210,AMARILLA GAS MORENO,AMARILLA GAS S.A|,RUTA PROVINCIAL Nº 23 Y PEDRIEL N/KM ,MORENO,MORENO,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.761433,-34.602016]}",0101000020E61000002E8CF4A276614DC099D53BDC0E4D41C0
AMARILLA GAS S.A,30515637210,AMARILLA GAS TANDIL,TOTAL ESPECIALIDADES ARGENTINA S.A.|AMARILLA GAS S.A|,PRIMERA JUNTA Y CASEROS N/KM ,TANDIL,TANDIL,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-59.110405,-37.318123]}",0101000020E61000004E2844C0218E4DC07E8D2441B8A842C0
AMARILLA GAS S.A,30515637210,AMARILLA GAS SALTA,YPF GAS S.A.|AMARILLA GAS S.A|,RUTA PROVINCIAL Nº 68 N/KM 174,CERRILLOS,CERRILLOS,SALTA,"{""type"":""Point"",""coordinates"":[-65.469453,-24.884512]}",0101000020E6100000958098840B5E50C068EBE0606FE238C0
AMARILLA GAS S.A,30515637210,AMARILLA GAS RESISTENCIA,AMARILLA GAS S.A|,RUTA NACIONAL 11 N/KM 999,RESISTENCIA,SAN FERNANDO,CHACO,"{""type"":""Point"",""coordinates"":[-59.055152,-27.473695]}",0101000020E61000008D2782380F874DC05A47551344793BC0
AMARILLA GAS S.A,30515637210,AMARILLA GAS VILLA ANGELA,AMARILLA GAS S.A|,JUAN B. JUSTO Y MISIONES N/KM ,VILLA ANGELA,MAYOR LUIS J FONTANA,CHACO,"{""type"":""Point"",""coordinates"":[-60.694429,-27.57952]}",0101000020E61000006E32AA0CE3584EC0BF60376C5B943BC0
AMARILLA GAS S.A,30515637210,AMARILLA GAS CURUZU CUATIA,AMARILLA GAS S.A|,RUTA NACIONAL 14 SUR N/KM 642,CURUZU CUATIA,CURUZU CUATIA,CORRIENTES,"{""type"":""Point"",""coordinates"":[-58.078106,-29.772447]}",0101000020E610000089CF9D60FF094DC0B0E42A16BFC53DC0
AMARILLA GAS S.A,30515637210,AMARILLA GAS POSADAS,AMARILLA GAS S.A|,RUTA NACIONAL 12 N/KM 8.5,POSADAS,CAPITAL,MISIONES,"{""type"":""Point"",""coordinates"":[-55.874537,-27.444097]}",0101000020E61000002B1213D4F0EF4BC070404B57B0713BC0
AMARILLA GAS S.A,30515637210,AMARILLA GAS RECONQUISTA,AMARILLA GAS S.A|,RUTA NACIONAL Nº 9 N/KM 11,RECONQUISTA,GENERAL OBLIGADO,SANTA FE,"{""type"":""Point"",""coordinates"":[-59.656339,-29.171169]}",0101000020E6100000700B96EA02D44DC0CA1649BBD12B3DC0
AMARILLA GAS S.A,30515637210,AMARILLA GAS SAN LORENZO,AMARILLA GAS S.A|,RUTA NACIONAL Nº 11 N/KM 333.5,SAN LORENZO,SAN LORENZO,SANTA FE,"{""type"":""Point"",""coordinates"":[-60.758365,-32.71109]}",0101000020E61000002CB7B41A12614EC09E4143FF045B40C0
BALZA GAS S.A.,30708406909,RUTA 2 KM 363,BALZA GAS S.A.|,RUTA NACIONAL 2 N/KM 368,VIVORATA,MAR CHIQUITA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-57.66452,-37.669436]}",0101000020E6100000DBC4C9FD0ED54CC0ED612F14B0D542C0
BRAGAS S.A.C.I.F.I.A.,30517062479,RUTA 205 INTERSECCION RUTA 6,BRAGAS S.A.C.I.F.I.A.|,RUTA 205 INTERSECCION RUTA 6 N/KM ,CAÑUELAS,CAÑUELAS,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.723288,-35.022581]}",0101000020E61000006CCB80B3945C4DC0684128EFE38241C0
BRAGAS S.A.C.I.F.I.A.,30517062479,"RUTA NACIONAL N 3 KM 32,5",BRAGAS S.A.C.I.F.I.A.|,RUTA NACIONAL Nº 3 N/KM 32.5,GONZALEZ CATAN,LA MATANZA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.629203,-34.788112]}",0101000020E6100000C5C551B989504DC0E6CAA0DAE06441C0
CAÑUELAS GAS S.A.,30637182907,BAHIA BLANCA,TOTAL ESPECIALIDADES ARGENTINA S.A.|CAÑUELAS GAS S.A.|,COLON N/KM 3005,BAHIA BLANCA,BAHIA BLANCA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-62.299036,-38.743296]}",0101000020E6100000D029C8CF46264FC0B29FC552245F43C0
CAÑUELAS GAS S.A.,30637182907,BALCARCE,CAÑUELAS GAS S.A.|,RUTA NACIONAL 226 N/KM 66,BALCARCE,BALCARCE,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.227653,-37.814929]}",0101000020E61000000BEBC6BB231D4DC0EFC7ED974FE842C0
CAÑUELAS GAS S.A.,30637182907,BOLIVAR,YPF GAS S.A.|TOTAL ESPECIALIDADES ARGENTINA S.A.|CAÑUELAS GAS S.A.|,RUTA 226 N/KM 402,BOLIVAR,BOLIVAR,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-61.13786,-36.236355]}",0101000020E61000009AB67F65A5914EC0809F71E1401E42C0
CAÑUELAS GAS S.A.,30637182907,CAÑUELAS,TOTAL ESPECIALIDADES ARGENTINA S.A.|CAÑUELAS GAS S.A.|,RUTA NACIONAL 205 N/KM 69.5,CAÑUELAS,CAÑUELAS,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.787221,-35.058324]}",0101000020E6100000BADC60A8C3644DC034492C29778741C0
CAÑUELAS GAS S.A.,30637182907,RIO IV,CAÑUELAS GAS S.A.|,RUTA 5 Y RUTA 36  N/KM ,RIO CUARTO,RIO CUARTO,CÓRDOBA,"{""type"":""Point"",""coordinates"":[-64.384902,-33.134293]}",0101000020E61000008F8AFF3BA21850C0768A5583309140C0
CAÑUELAS GAS S.A.,30637182907,LA PLATA,CAÑUELAS GAS S.A.|,CAMINO GRAL BELGRANO N/KM 14.5,VILLA ELISA,LA PLATA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.102624,-34.867412]}",0101000020E610000071E481C8220D4DC038143E5B076F41C0
