razon_social,propietario,nombre_boca,operador,direccion,localidad,departamento,provincia,geojson,geom
CAPEX SA,30629827060,"AGUA DEL CAJON, NEUQUEN",CAPEX S.A|GRANEL GAS SRL (LPG Y DERIVADOS SRL)|,"RUTA 22 N/KM 1244.5 -CAMINO CHINA MUERTA KM 4,5-",PLOTTIER,CONFLUENCIA,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-68.3516,-38.93613]}",0101000020E61000008351499D801651C0F9669B1BD37743C0
AXION ENERGY ARGENTINA SA,30506919009,"CAMPANA, BUENOS AIRES","AXION ENERGY ARGENTINA SA|ENERGY BS. AS. S.A|GRANEL GAS SRL (LPG Y DERIVADOS SRL)|PAN AMERICAN SUR S.A.|PAN AMERICAN ENERGY LLC, SUCURSAL ARGENTINA|LPG BAIRES S.R.L|",MITRE ING EMILIO N/KM 574,CAMPANA,CAMPANA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.94663,-34.15369]}",0101000020E6100000CCB4FD2B2B794DC072DC291DAC1341C0
PETROBRAS ARGENTINA S.A.,30504077078,"PLANTA CONDOR, SANTA CRUZ",PETROBRAS ARGENTINA S.A.|TRANSPORTADORA DEL GAS DEL SUR S.A.|,RUTA PROV 1 N/KM 72 -PLANTA EL CONDOR-,RIO GALLEGOS,GUER AIKE,SANTA CRUZ,"{""type"":""Point"",""coordinates"":[-68.861582,-52.215075]}",0101000020E6100000A034D428243751C0F697DD93871B4AC0
SHELL COMPAÑÍA ARGENTINA DE PETRÓLEO S.A.,30506726804,"DOCK SUD, BUENOS AIRES",SHELL COMPANIA ARGENTINA DE PETROLEO S.A.|WINTERSHALL ENERGIA S.A.|,PONCE SGTO N/KM 2318,DOCK SUD,AVELLANEDA,BUENOS AIRES,"{""type"":""Point"",""coordinates"":[-58.335404,-34.654039]}",0101000020E61000004A79AD84EE2A4DC07EA7C98CB75341C0
YPF SOCIEDAD ANONIMA,30546689979,"EL PORTON, NEUQUEN",YPF SOCIEDAD ANONIMA|,RUTA PROV 6 N/KM 27,EL PORTON,PEHUENCHES,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-69.6550727777313,-37.1573982007091]}",0101000020E6100000C6365FB6EC6951C0573FCE9F259442C0
PETROLERA ENTRE LOMAS S.A.,33515950899,"ENTRE LOMAS, RIO NEGRO",PETROLERA ENTRE LOMAS S.A.|GRANEL GAS SRL (LPG Y DERIVADOS SRL)|,RUTA PROVINCIAL 151 N/KM 89,CATRIEL,GENERAL ROCA,RIO NEGRO,"{""type"":""Point"",""coordinates"":[-68.09283,-38.208543]}",0101000020E61000009D853DEDF00551C0A5677A89B11A43C0
PLUSPETROL S.A.,30678224010,"CENTENARIO, NEUQUEN",PLUSPETROL S.A.|YPF SOCIEDAD ANONIMA|,CAMINO INTERNO YAC CENTENARIO N/KM 12.5,NEUQUEN,CONFLUENCIA,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-68.18283,-38.9141]}",0101000020E610000092AE997CB30B51C005A3923A017543C0
REFINERÍA DEL NORTE SA,30658233692,"GUEMES, SALTA",ENERGÍA ARGENTINA S.A.|REFINERÍA DEL NORTE SA|YPF SOCIEDAD ANONIMA|,RUTA NACIONAL 34 N/KM 1131,GENERAL GUEMES,GENERAL MARTIN M GUEMES,SALTA,"{""type"":""Point"",""coordinates"":[-65.030984,-24.705274]}",0101000020E6100000C1AC50A4FB4150C017B83CD68CB438C0
REFINERÍA DEL NORTE SA,30658233692,"LEALES, TUCUMAN",YPF SOCIEDAD ANONIMA|REFINERÍA DEL NORTE SA|ENERGÍA ARGENTINA S.A.|,RUTA NACIONAL Nº 9 N/KM 1254,LEALES,LEALES,TUCUMAN,"{""type"":""Point"",""coordinates"":[-65.146878,-27.137616]}",0101000020E61000001FA0FB72664950C006685BCD3A233BC0
YSUR ENERGIA ARGENTINA SRL,30654521561,"LOMA NEGRA, NEUQUEN",YSUR ENERGÍA ARGENTINA S.R.L. |,RUTA NACIONAL 22 N/KM 1334 -LOMA NEGRA-,CUTRAL CO,CONFLUENCIA,NEUQUÉN,"{""type"":""Point"",""coordinates"":[-69.28106,-38.92024]}",0101000020E6100000AE0D15E3FC5151C04B3CA06CCA7543C0
